Date,Price,Open,High,Low,Vol.,Change %
Aug 07 2018,6130.6,6010.0,6145.0,5982.6,1.13K,2.01%
Aug 06 2018,6010.0,6085.7,6188.8,5920.0,1.14K,-1.24%
Aug 05 2018,6085.7,6055.7,6134.1,5958.0,0.88K,0.49%
Aug 04 2018,6055.7,6415.0,6470.0,6000.0,1.39K,-5.60%
Aug 03 2018,6415.0,6510.3,6514.8,6311.0,1.42K,-1.47%
Aug 02 2018,6510.5,6528.6,6628.9,6440.2,1.09K,-0.28%
Aug 01 2018,6528.6,6614.4,6614.4,6374.1,1.85K,-1.30%
Jul 31 2018,6614.4,6984.0,6984.0,6550.9,1.93K,-5.35%
Jul 30 2018,6988.5,7052.7,7098.3,6718.3,1.61K,-0.91%
Jul 29 2018,7052.7,7055.0,7092.0,6979.9,0.44K,-0.03%
Jul 28 2018,7055.0,7025.0,7084.1,6939.1,0.53K,0.43%
Jul 27 2018,7025.0,6816.0,7100.0,6707.6,1.88K,3.07%
Jul 26 2018,6816.0,6970.0,7130.0,6755.0,1.78K,-2.21%
Jul 25 2018,6970.0,7180.0,7256.0,6887.0,2.59K,-3.06%
Jul 24 2018,7189.9,6609.7,7250.0,6601.0,3.27K,8.78%
Jul 23 2018,6609.7,6320.2,6670.0,6306.8,1.86K,4.58%
Jul 22 2018,6320.2,6323.5,6444.6,6267.0,0.61K,-0.08%
Jul 21 2018,6325.4,6260.2,6363.0,6163.0,0.61K,1.04%
Jul 20 2018,6260.3,6418.3,6570.0,6199.0,1.65K,-2.46%
Jul 19 2018,6418.3,6330.3,6490.0,6239.6,1.51K,1.39%
Jul 18 2018,6330.3,6275.1,6514.2,6221.0,2.56K,0.88%
Jul 17 2018,6275.1,5729.9,6400.0,5673.8,2.63K,9.51%
Jul 16 2018,5729.9,5438.3,5749.0,5417.9,3.20K,5.42%
Jul 15 2018,5435.2,5375.7,5483.0,5351.0,0.40K,1.11%
Jul 14 2018,5375.7,5338.7,5440.0,5306.9,0.41K,0.69%
Jul 13 2018,5338.7,5362.2,5432.0,5257.2,0.95K,-0.40%
Jul 12 2018,5360.0,5470.0,5470.0,5218.0,1.23K,-2.01%
Jul 11 2018,5470.0,5381.2,5477.7,5366.0,0.95K,1.69%
Jul 10 2018,5378.9,5676.1,5680.0,5363.7,1.53K,-5.24%
Jul 09 2018,5676.1,5718.9,5792.0,5652.9,0.92K,-0.74%
Jul 08 2018,5718.7,5758.7,5773.0,5682.6,0.49K,-0.70%
Jul 07 2018,5758.7,5641.4,5800.0,5564.0,0.45K,2.08%
Jul 06 2018,5641.4,5599.8,5673.2,5524.2,0.83K,0.73%
Jul 05 2018,5600.7,5659.5,5750.0,5542.8,1.08K,-1.03%
Jul 04 2018,5658.9,5598.8,5830.0,5507.8,0.97K,1.18%
Jul 03 2018,5593.0,5695.4,5739.8,5563.1,0.97K,-1.80%
Jul 02 2018,5695.4,5454.2,5762.5,5400.0,1.49K,4.42%
Jul 01 2018,5454.2,5467.9,5497.8,5365.7,0.48K,-0.25%
Jun 30 2018,5467.9,5300.0,5523.0,5287.0,0.91K,3.17%
Jun 29 2018,5300.0,5065.7,5375.9,4968.4,1.81K,4.54%
